video_id,video_path,luminance_mean,luminance_std,blur,hr_error,snr,macc
s44_T1,/work/yj167/DATASET_1/s44/vid_s44_T1.avi,148.38341999053955,0.05231954932527415,23.89033097126614,52.807617220000004,-7.122476945,0.22249598
s2_T1,/work/yj167/DATASET_1/s2/vid_s2_T1.avi,137.9843354701996,0.11339349556468244,14.850931971287919,39.13574219,-6.475526464,0.412007329
s47_T2,/work/yj167/DATASET_1/s47/vid_s47_T2.avi,98.42509852409363,6.061805753130719,14.160673736247045,39.135742199999996,-12.98915961,0.293879361
s22_T2,/work/yj167/DATASET_1/s22/vid_s22_T2.avi,146.3565507221222,3.938677863818458,20.351734498752922,37.255859400000006,-7.956023433,0.26829375
s51_T1,/work/yj167/DATASET_1/s51/vid_s51_T1.avi,132.200347032547,0.06970172025002547,16.94827542439664,36.743164060000005,-4.591682226,0.306814753
s33_T1,/work/yj167/DATASET_1/s33/vid_s33_T1.avi,143.481029548645,0.5152999660129776,33.81020637542542,35.888671880000004,-23.23544257,0.210910237
s28_T2,/work/yj167/DATASET_1/s28/vid_s28_T2.avi,109.92361240386963,12.145998610089428,14.396968283997658,33.66699222,-8.481071598,0.294678034
s41_T2,/work/yj167/DATASET_1/s41/vid_s41_T2.avi,108.77398741722106,4.30764474975159,20.352076005707758,33.49609375,-13.22527671,0.244946785
s33_T2,/work/yj167/DATASET_1/s33/vid_s33_T2.avi,146.14634115219116,4.744608804927511,32.767027847123934,33.32519535,-15.4900576,0.244526972
s8_T1,/work/yj167/DATASET_1/s8/vid_s8_T1.avi,146.57303895950318,0.10681532574012367,17.825888752325863,31.616210909999992,-12.28457525,0.252288237
s36_T2,/work/yj167/DATASET_1/s36/vid_s36_T2.avi,132.50900290489196,2.494373702604514,20.379217552524143,29.907226590000008,-10.72981057,0.303790226
s7_T1,/work/yj167/DATASET_1/s7/vid_s7_T1.avi,138.70750450134278,0.07969779464500933,47.599663773889695,29.736328130000004,-9.158240314,0.297342827
s48_T1,/work/yj167/DATASET_1/s48/vid_s48_T1.avi,157.59730648994446,0.11938552890790707,15.310794451570336,29.565429690000002,-7.358617751,0.278516973
s44_T2,/work/yj167/DATASET_1/s44/vid_s44_T2.avi,141.3317748260498,3.550756702546897,25.30106454537794,28.881835929999994,-9.555687822,0.28502731
s39_T1,/work/yj167/DATASET_1/s39/vid_s39_T1.avi,135.88936796188355,0.09140779914779842,14.939626408320965,26.831054690000002,-12.15103625,0.285966108
